
PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2010-1-1,57,54,50,56,51,47,100,92,83,30.34,30.30,30.26,10,8,2,10,3,13,T,8,,93<br />
2010-1-2,55,52,49,54,51,47,100,92,83,30.30,30.25,30.20,10,6,0,12,5,23,0.00,7,Fog,25<br />
2010-1-3,55,51,46,50,47,45,100,89,77,30.19,30.15,30.10,10,10,9,15,5,17,0.00,3,,84<br />
2010-1-4,54,50,46,48,45,43,93,82,71,30.19,30.15,30.12,10,7,4,14,4,15,0.00,5,,106<br />
2010-1-5,61,52,42,49,46,42,100,89,77,30.22,30.17,30.14,10,7,3,15,3,23,0.00,4,,35<br />
2010-1-6,54,50,46,47,45,44,93,85,77,30.21,30.15,30.11,9,5,2,14,5,15,0.00,4,,19<br />
2010-1-7,53,52,50,50,47,45,100,92,83,30.17,30.12,30.08,8,4,1,10,4,12,0.00,5,,8<br />
2010-1-8,54,51,47,47,46,45,93,85,77,30.22,30.15,30.08,10,6,5,14,6,15,T,5,,33<br />
2010-1-9,54,49,44,48,46,44,100,89,77,30.24,30.20,30.17,10,8,5,13,3,14,0.00,5,,131<br />
2010-1-10,52,49,45,48,46,44,100,89,77,30.22,30.19,30.16,10,4,0,9,2,13,0.00,7,Fog,41<br />
2010-1-11,56,52,47,49,47,45,93,85,77,30.19,30.09,30.02,10,8,6,20,5,24,0.00,7,,36<br />
2010-1-12,62,58,53,56,53,48,93,86,78,30.08,30.00,29.87,10,9,5,29,12,37,0.35,8,Rain,146<br />
2010-1-13,60,56,51,55,50,48,93,83,72,30.33,30.16,29.91,10,10,9,29,12,36,0.01,5,Rain,263<br />
